rep,model,seed,param,mean,sd,q025,q975,p_gt0,rhat,ess,divergences
6,weak,1042,gamma_Y,0.11658718805229876,0.24078607968920723,-0.34009360274999995,0.58239416975,0.6775,0.999877,4431.75,0
6,weak,1042,indirect_effect,0.12008651330248975,0.06648943485417864,0.015709891750000003,0.274186424,0.9915,1.0012,4010.07,0
6,weak,1042,total_effect,0.20278719379036506,0.14532748174749024,-0.075814059475,0.4780445122500001,0.9185,1.00061,4110.33,0
6,weak,1042,prop_mediated,3.5130861106517957,203.20692579876763,-3.422086405,4.901594440000003,0.913,1.0012,3456.73,0
6,strong,1042,b1,0.381286301589925,0.11318053555191131,0.1693088005,0.61265215375,0.99975,1.00114,3202.88,0
6,strong,1042,b2,0.310007294379925,0.10755580269758325,0.10234277124999999,0.521645339,0.99775,1.00059,3080.03,0
6,strong,1042,g1,0.0984502380809005,0.11917475979595571,-0.133811981,0.33476999275,0.79175,1.00115,3211.52,0
6,strong,1042,gamma_M,-0.026177829606217496,0.15148348105163115,-0.32609290075,0.2702312297500002,0.43325,1.00013,3098.08,0
6,strong,1042,gamma_Y,0.10239637030609376,0.1597733233245778,-0.20305558024999998,0.4144469945000001,0.744,1.00034,2578.18,0
6,strong,1042,indirect_effect,0.11780031718692499,0.05394341023895744,0.029122650575000006,0.24122653375000008,0.9975,1.00144,3534.36,0
6,strong,1042,total_effect,0.21625055538329202,0.12089194695668384,-0.012976872474999996,0.45854518625,0.97,1.00108,3476.5,0
6,strong,1042,prop_mediated,1.2715967913893251,26.364206991113658,-0.6721697279999996,4.141813722500001,0.968,1.00048,3334.27,0
7,weak,1049,b1,0.6250164723855001,0.15691300561846253,0.328253952,0.93919460875,1.0,1.0001,2895.62,0
7,weak,1049,b2,0.400071413836059,0.14374032550479807,0.12297271950000001,0.6806728145000002,0.9965,0.999935,3197.31,0
7,weak,1049,g1,0.4436551301157325,0.19770247415838624,0.06485391365,0.84562817,0.99025,0.999989,2515.72,0
7,weak,1049,gamma_M,-0.10927964943175655,0.2482588263414687,-0.601328868,0.3872527292500001,0.3275,0.999878,4968.97,0
7,weak,1049,gamma_Y,-0.22158031980004397,0.26122659356901634,-0.72985105625,0.2939662370000001,0.1955,1.00054,4617.32,0
7,weak,1049,indirect_effect,0.24540465081052998,0.10114354418314374,0.07095834205,0.46831558650000005,0.9965,1.00014,3958.43,0
7,weak,1049,total_effect,0.689059781035,0.17660317291070926,0.35556966725,1.0557577450000002,1.0,0.999789,2575.34,0
7,weak,1049,prop_mediated,0.3812743273596873,0.19090000968622814,0.09693484540000001,0.8427818525000002,0.9965,1.00023,3041.06,0
7,strong,1049,b1,0.5378925167234999,0.11877008048893185,0.30938629825,0.7697066205,0.99975,0.999772,3190.64,0
7,strong,1049,b2,0.450110706805,0.10903448923683104,0.24094669075,0.6634087942500001,1.0,1.00032,2805.24,0
7,strong,1049,g1,0.3328187852537675,0.1328883062244448,0.06836911345,0.589811446,0.994,1.00129,2808.65,0
7,strong,1049,gamma_M,0.07535847251795574,0.1571363729029946,-0.231058702,0.37693802625000006,0.68325,1.00036,3686.3,0
7,strong,1049,gamma_Y,-0.033115451254851505,0.15672060849611658,-0.34074347125,0.27766835650000005,0.4285,1.00125,3412.54,0
7,strong,1049,indirect_effect,0.241347086116075,0.07815923879006106,0.10722033375,0.41305109275,0.99975,1.00072,3698.81,0
7,strong,1049,total_effect,0.57416587135675,0.13311969394599976,0.31443249075,0.83589113875,1.0,1.00083,3570.82,0
7,strong,1049,prop_mediated,0.43729612399,0.16321689622046,0.19412416025,0.8222939495000003,0.99975,1.00066,2790.61,0
8,weak,1056,b1,0.525506592378,0.1520939541951083,0.2367271715,0.8352370395000001,1.0,1.00094,3433.44,0
8,weak,1056,b2,0.53232401453275,0.14161457617079573,0.26176578100000003,0.8195602925000001,1.0,1.00017,3375.2,0
8,weak,1056,g1,0.07446492371156599,0.18030233327952766,-0.27986295575,0.42596777950000003,0.6605,1.00066,2932.89,0
8,weak,1056,gamma_M,-0.3049601253329875,0.27222481362978235,-0.8491477817499999,0.2358388925000001,0.1315,1.0005,4661.13,0
8,weak,1056,gamma_Y,0.10860381254190449,0.29128928666688303,-0.45534846,0.6939685832500005,0.64025,1.00168,4794.56,0
8,weak,1056,indirect_effect,0.278445915101,0.10881068925326746,0.09778580232499999,0.52342024025,1.0,1.0009,3932.53,0
8,weak,1056,total_effect,0.35291083885572494,0.17486061543399753,0.00925658161,0.7007443147500001,0.97825,1.00012,3506.75,0
