scenario,N,rep,true_b1,true_b2,true_ind,cs_b1,cs_b1_cov,cs_b2,cs_b2_cov,lv_b1,lv_b1_cov,lv_b2,lv_b2_cov,lap_b1,lap_b1_cov,lap_b2,lap_b2_cov,lap_ind,lap_ind_sig
small,100,39,0.3,0.3,0.09,0.26239699872713895,1,0.5675810475614833,0,0.30507772309382253,1,0.5677453128999632,0,,,,,,
small,100,40,0.3,0.3,0.09,0.29272016254143113,1,0.18404930381331708,1,0.26415473791397615,1,0.26916171442865156,1,,,,,,
small,100,41,0.3,0.3,0.09,0.3382136213528032,1,0.1654913683799139,1,0.4221866581771672,1,0.1775202436390301,1,,,,,,
small,100,42,0.3,0.3,0.09,0.2385175410147729,1,0.2143164002412462,1,0.3462428743620989,1,0.34322759765521005,1,,,,,,
small,100,43,0.3,0.3,0.09,0.3579693885071773,1,0.18250106397070107,1,0.5421723376416839,0,0.14731154552081005,1,,,,,,
small,100,44,0.3,0.3,0.09,0.15829400716286157,1,0.43452324164833034,1,0.3128448408956572,1,0.3185500727386515,1,,,,,,
small,100,45,0.3,0.3,0.09,0.2888879190772286,1,0.3879946666211316,1,0.2334166575134306,1,0.3509409659021089,1,,,,,,
small,100,46,0.3,0.3,0.09,0.3272571378231873,1,0.5105353414884934,1,0.3116483884748219,1,0.49837321518983024,1,,,,,,
small,100,47,0.3,0.3,0.09,0.18723462707297192,1,0.36889121635497585,1,0.25373840254048396,1,0.3895173342364062,1,,,,,,
small,100,48,0.3,0.3,0.09,0.26271867777855606,1,0.3282289921653241,1,0.3884492652803547,1,0.34934882640038595,1,,,,,,
small,100,49,0.3,0.3,0.09,0.2006376074370303,1,0.4999650677526829,0,0.13539069714732227,1,0.4057496030408462,1,,,,,,
small,150,0,0.3,0.3,0.09,0.3333975454089214,1,0.228641587398925,1,0.3356915971624831,1,0.2768277513554002,1,,,,,,
small,150,1,0.3,0.3,0.09,0.11006065968866724,0,0.21285404674909425,1,0.24258050310318147,1,0.31451137548361263,1,,,,,,
small,150,2,0.3,0.3,0.09,0.33392581837570245,1,0.1195069507766475,1,0.3357067617690507,1,0.1359595112248055,1,,,,,,
small,150,3,0.3,0.3,0.09,0.2610798364367016,1,0.0834248637998188,0,0.2829443621094537,1,0.16443130385590304,1,,,,,,
small,150,4,0.3,0.3,0.09,0.31892582492039895,1,0.24215074810262424,1,0.35368286337401705,1,0.277042490684722,1,,,,,,
small,150,5,0.3,0.3,0.09,0.09752357429386854,0,0.15553424962040963,1,0.16341708571034394,1,0.19999702270267972,1,,,,,,
small,150,6,0.3,0.3,0.09,0.2507313379003494,1,0.27880083874436684,1,0.32701435742583923,1,0.38670485025143847,1,,,,,,
small,150,7,0.3,0.3,0.09,0.14028941204694748,1,0.32203053964671763,1,0.19852717677999415,1,0.3130970343785096,1,,,,,,
small,150,8,0.3,0.3,0.09,0.25623575787214303,1,0.27659312293944566,1,0.23944825587234236,1,0.30302599870466806,1,,,,,,
small,150,9,0.3,0.3,0.09,0.20039290053109735,1,0.3037755995099349,1,0.3357867472773418,1,0.304548790000178,1,,,,,,
small,150,10,0.3,0.3,0.09,0.3123125511864325,1,0.2865745673888794,1,0.377014646566008,1,0.36946657482021006,1,,,,,,
